Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
178.87989807128906,179.7349465415521,174.65385883537695,174.77179035001552,104487900
176.60963439941406,179.79392040563258,176.0396070589959,179.4892539814939,99310400
171.91184997558594,177.07156425536837,171.6366664137079,176.5211971316123,94537600
169.0420684814453,172.285320469028,168.68825890104756,169.73002738877994,96904000
169.20912170410156,171.14524402422893,168.08872734087262,169.91674077523325,86709100
169.228759765625,169.53342613200735,165.27788963591132,166.1722434830422,106765600
172.06907653808594,172.1673477977068,167.8823429695319,169.3565468312396,76138300
172.5113525390625,174.13297095610363,171.8135710369917,173.09120251884048,74805200
169.228759765625,173.58256751092873,168.83562977966744,172.75701703498126,84505800
170.0936737060547,170.79145523828697,168.14771352583708,168.39341420548664,80440800
166.87986755371094,169.5727368069087,166.49657517844096,168.56045143128856,90956700
163.3712921142578,168.13789130970082,163.0862859235723,167.07646257144611,94815000
161.6808624267578,166.76195044943782,161.3565357449214,164.10838623013277,91420500
159.6169891357422,163.46957389675498,159.50888023954428,161.59241715203612,122848900
158.84056091308594,159.50887451917274,152.0395683138979,157.26808565686596,162294600
157.03221130371094,159.9609590965899,154.31968130054574,156.24596615896806,115798400
156.9437713623047,161.5629412237311,155.10593504422843,160.6882473882618,108275300
156.48184204101562,161.02238556956317,155.55800513342504,159.65629046052865,121954600
167.4007568359375,167.42041708553484,160.0002549802617,162.86021394342566,179935700
171.77427673339844,171.990494554835,166.59490164124617,167.23373247599272,115541600
171.607177734375,171.83321815334287,169.3467285555597,171.01749012376968,86213900
172.8159942626953,172.85531476209064,170.34916529700746,171.7447430980098,84914300
169.9265594482422,173.20913145041823,169.15997463841794,171.47938931840278,89418100
169.64122009277344,171.32396054369477,167.9584796418521,168.9425345214472,82465400
168.92286682128906,171.17634592324976,168.22418123926562,170.1037296917855,77251200
172.04232788085938,172.5540406567285,168.69653205769893,168.9917515443729,74829200
173.46922302246094,173.833318586025,172.1112222484287,173.24289456528504,71285000
169.37551879882812,172.68194375053233,168.8146153330359,171.36331383328056,90865900
165.9510040283203,170.32020982591467,165.36056513089437,169.5821687118747,98670700
166.1871795654297,166.87601492289843,163.90416522012222,164.70124720629926,86185500
170.03482055664062,170.19227292675632,167.5353279968633,168.24384864689935,62527400
169.7986602783203,170.57605697053586,167.33852325607717,169.1098249151892,61177400
166.1871795654297,169.1688644106395,165.78371349338204,168.30289138097328,69589300
164.63241577148438,167.82074457979977,163.54011404610148,167.11223874555424,82772700
161.6998748779297,164.03207970283808,159.5644629736706,162.3493395656181,91162800
157.5176544189453,163.50069421366558,157.20274968475783,162.90042020266935,90009200
160.1450958251953,160.25334246210673,149.5763410580208,150.14709468760051,141147500
162.221435546875,162.48711952478297,158.30488673407692,161.22753061493847,91974200
162.48712158203125,162.78234102115098,159.84001180321536,160.4599711238184,95056600
160.5977783203125,163.9435744405098,159.3873948345279,162.07386086924092,83474400
163.9041748046875,164.69142169446647,160.35173616541616,161.7687775639212,79724800
163.5794219970703,166.21669661748916,162.91027195360368,165.78371011148872,76678400
160.56822204589844,162.9102773059474,159.51529120397137,161.86718160657645,83737200
156.75994873046875,162.3887439653584,156.50408484630077,160.75520922600182,96418800
154.9296112060547,160.28287244930655,153.31576171497022,156.28761181988324,131148300
160.35171508789062,160.80438687004462,156.86816795403388,158.905153435018,91454900
155.99237060546875,157.83254827067594,153.49286301272676,157.64557545679153,105342000
152.2628173828125,156.74027038411012,152.03648894987714,156.3958451472846,96970100
148.2183074951172,151.66249879142745,147.70660988509843,149.03507466152865,108732100
152.61705017089844,153.089407270085,147.98216062819657,148.49385829575584,92964300
157.04530334472656,157.44876942008187,151.99711238572482,154.54581073699606,102300200
158.05889892578125,158.43284460620507,155.11658427872035,156.0809539111175,75615400
161.3653106689453,161.85733809568418,157.21259798603037,157.9506391261387,123511700
162.7429962158203,163.69753062342352,160.410776006235,160.90280343219604,95811400
166.12814331054688,166.71856719819857,162.28048532842047,162.87090921607214,81532000
167.49598693847656,169.88723307812018,164.9767938445975,165.31138391398235,98062700
171.29441833496094,171.363294359729,167.49596638171184,168.33240391380366,90131400
171.93406677246094,172.48513509296794,169.99547749215097,171.10746429170044,80546200
172.80003356933594,172.92795048627315,169.25743018713217,169.42471770580778,90371900
176.10646057128906,176.15565130084448,173.52822668291532,173.8726518827145,100589400
174.9354248046875,176.7460820205957,173.88247896845155,175.7029863422026,92633200
171.8258056640625,175.19127120838715,171.6191475535364,175.0042983977884,103049300
171.5305938720703,172.09151232886626,169.1983887454629,171.25505972274473,78751300
175.59475708007812,175.64396282770502,171.65853751770197,171.7864694584347,76468400
172.26864624023438,175.45698948199342,171.6388517127187,174.66974256872732,73401800
169.09014892578125,170.86145068243167,167.4172586616336,169.61169680197753,89058800
169.39520263671875,170.59575076458447,167.14172361896223,168.4308330803216,77594700
167.37791442871094,169.04096981181576,166.50210606320158,169.04096981181576,76575500
163.10708618164062,166.33478478538393,162.8610724769926,166.0198950514866,72246700
164.98663330078125,167.1613860255376,163.98289318870957,165.34089363354275,79265200
167.68292236328125,168.31271679879137,164.1108138532633,164.72092298955894,70618900
162.65443420410156,168.53909354843174,162.40842046943686,167.89944882901148,75329400
162.4379425048828,163.9435452353402,160.9618602189061,161.30627040967605,69023900
164.7307586669922,165.14407487442162,161.29641720934256,162.38871857930025,67723800
164.56350708007812,166.1872067765634,163.45153518362264,166.06910997059992,67929800
163.76641845703125,168.79493971335873,163.26455585195845,166.21672062047585,87227800
